id,text,Anger,Disgust,Fear,Joy,Sadness,Surprise
amh_train_track_a_00001,"God has helped you, son. We are very happy with your happiness",0,0,0,1,0,0
amh_train_track_a_00002,"Tefik, you have burned your soul, you have burned us, we have saved you. In the end, I am very happy that Momotu Azize and Jevdet met. My friends.",0,0,0,1,0,0
amh_train_track_a_00003,"Many people despise the generous, and he is a friend to everyone who gives gifts. A poor man is hated by all his brothers. Instead, his friends turn away from him. And if he follows them verbally, they will not understand anything. [Book of Proverbs 19 6 7]",0,0,0,0,0,0
amh_train_track_a_00004,"I wish we had some of what we&#39;re talking about. This includes his fans. He suddenly got up. His birthday was right. His birthday was like this. If my birthday is for you, I&#39;ll go.",1,0,0,0,0,0
amh_train_track_a_00005,It&#39;s strange that you call this xx person.,0,1,0,0,0,1
amh_train_track_a_00006,"Ermias Yoseph, a refugee, a grave-digger, go back to Madagascar, desert.",0,1,0,0,0,0
amh_train_track_a_00007,The government will not be able to bring about any positive change in the current war of mass destruction unless the Amhara region is destroyed.,1,0,0,0,0,0
amh_train_track_a_00008,"In these 5 years, not more than the Red Terror, but the War of Destruction, the war of the Derg combined, more people were killed, displaced, displaced.",0,0,0,0,1,0
amh_train_track_a_00009,"This is how the insult comes without any preconceived notions. If you are in trouble, call me.",0,1,0,0,0,0
amh_train_track_a_00010,"I have no words. Mercy will ease your suffering. My sister, don&#39;t be afraid. What kind of time have we come to all this violence against a little girl? What will heal this broken heart?",0,0,0,0,1,0
amh_train_track_a_00011,Netanyahu rejected the terms of the cease-fire agreement proposed by Hamas,0,0,0,0,0,0
amh_train_track_a_00012,Africa Cup of Nations winners are spoiled for money and villa prizes,0,0,0,1,0,0
amh_train_track_a_00013,"Tultula, you are the one who is reporting false information.",1,1,0,0,0,0
amh_train_track_a_00014,"In a few moments, he will come to your house. Fano should not kill you, but cut off your tongue and hands",0,1,0,0,0,0
amh_train_track_a_00015,"I would be surprised if you told me that you are a historian, because you are a historian, you are only born in Biher, you can&#39;t write any other history, the reason is that you are narrow-minded. Come on Janhoy, when the people of Wolo and Tigray were starving, not only were the king celebrating his birthday by eating a cake, but journalists did not come and report on Rahab so that the starving people would not be seen. who did Did you know that they are a tyrannical leader?",0,1,0,0,0,0
amh_train_track_a_00016,"Indeed, Hitler was far-sighted and not cruel!!!",0,0,0,0,0,0
amh_train_track_a_00017,It&#39;s sad how they despised the people,0,1,0,0,1,0
amh_train_track_a_00018,"Because they are not being arrested and persecuted, they are not being killed, they are being separated from their families, so they are mocking death by the suffering of the masses. What will be done?",1,0,0,0,1,0
amh_train_track_a_00019,A Mexican airline passenger opened the plane door and walked on the wing,0,0,0,0,0,1
amh_train_track_a_00020,You don&#39;t even know what a crooked tooth looks like,0,1,0,0,0,0
amh_train_track_a_00021,"They would be happy to be a dance hall now, wouldn&#39;t they?",0,0,0,0,0,0
amh_train_track_a_00022,"If there is terror, there is terror! He is causing a stir to become the president of the Ethiopian Qquas Federation for the 3rd time. He was the president for the past 8 years in Kukas field",0,1,0,0,0,0
amh_train_track_a_00023,"If you say no one follows you, you are a stupid traitor. O Aber Ham, O Moses, you have defiled yourself because you have made the wisdom of the good people of the befits useless. And no one obeys your rules, because you don&#39;t know why you have been given such a mission, and you just accept it. Let me tell you the truth, a time when there are many people who say that I am a false prophet. Read the story of Adam and Eve",0,1,0,0,0,0
amh_train_track_a_00024,"Oh, Abebebet, what&#39;s wrong with hearing it? When we say that the poisoned garbage of the land will disappear, it will never get worse in this government. Oh, God, when will you hear the judgment of the poor? Oh, what he thinks. Our ears are listening to the cries of the innocent. Like this For children",0,0,0,0,1,0
amh_train_track_a_00025,correct! A leader means to calmly listen and investigate the concerns of the people and respond to most of them satisfactorily. Meat,0,0,0,1,0,0
amh_train_track_a_00026,"Congratulations, my dear, I hope everything goes well.",0,0,0,1,0,0
amh_train_track_a_00027,"But the journalist is ignorant, the creator did not create religion",0,1,0,0,0,0
amh_train_track_a_00028,"Listen to this man, he is bald, poisonous and racist, he has grown white hair, his grave is dirty, his mouth is gray, what does he have to say if he is telling the truth?",0,1,0,0,0,0
amh_train_track_a_00029,You too! Who said slaughter is not a good name?!,0,0,0,0,0,0
amh_train_track_a_00030,"Abiy Ahmed, public tears will not help you. Let the constitution be respected and justice for all",1,0,0,0,1,0
amh_train_track_a_00031,"I was healed by your wound, Lord, I was captivated by your love. You canceled my death. This is your death.",0,0,0,1,0,0
amh_train_track_a_00032,"If you don&#39;t make your wife laugh, then you are a prank",0,0,0,0,0,0
amh_train_track_a_00033,"The journey you have taken to embarrass the Orthodox Tewahedo is amazing, Nathanael, may God reward you, may the tears and weeping of the poor be for you, your children and your descendants.",1,1,0,0,1,0
amh_train_track_a_00034,"Satiety says, &quot;Don&#39;t show me human problems, what do you call enjoying human suffering like this?&quot; This child is not the only one who told you about the injustice you did, in front of their mothers",1,0,0,0,1,0
